Link,Rooms_Number
https://www.olx.plhttps://www.otodom.pl/pl/oferta/sikorskiego-kawalerka-w-stanie-deweloperskim-ID4v3EN.html,1
https://www.olx.pl/d/oferta/okazja-mieszkanie-1-pokojowe-do-odswiezenia-23m-1-pietro-4-ul-lecha-CID3-ID16k26y.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/atrakcyjna-kawalerka-w-swietnej-lokalizacji-idealna-na-start-wynajem-ID4vvCn.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-bocianek-po-generalnym-remoncie-ID4vW6V.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/na-sprzedaz-mieszkanie-1-pokojowe-20m-ID4xdvU.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-25-8m2-ul-mazurska-os-ksm-ID4vgbn.html,1
https://www.olx.pl/d/oferta/kawalerka-inwestycyjna-centrum-kamienica-26m2-ul-mickiewicza-12-CID3-ID16CLRW.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/sprzedam-male-mieszkanie-w-dogodnej-lokalizacji-ID4vg3r.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/enklawa-slichowice-nowe-osiedle-blisko-lasu-ID4x1Wo.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/pokoj-z-kuchnia-z-mozliwoscia-przerobki-na-2-pokoje-z-aneksem-ID4vJkv.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/kawalerka-z-balkonem-centrum-wyposazona-ID4vSSe.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/kawalerka-do-zamieszkania-w-centrum-z-winda-ID4vHFw.html,1
https://www.olx.pl/d/oferta/31m2-kawalerka-orkana-kielce-CID3-ID13LyD8.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/sprzedam-kawalerke-25-2-m2-kielce-ksm-ID4xgl2.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/kawalerka-w-centrum-kielc-ul-sienkiewicza-23-ID4vzXR.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/super-lokalizacja-kawalerka-27-5m2-parter-do-remontu-ID4vVGh.html,1
https://www.olx.pl/d/oferta/kawalerka-w-swietnej-lokalizacji-klonowa-CID3-ID16tpqF.html,1
https://www.olx.plhttps://www.otodom.pl/pl/oferta/krakowska-rogatka-mieszkanie-1-pok-1-10-ID4v1Jb.html,1
