ID,Link,Title,Price,Location,Area,City,Scrapping_Date,Type_of_Agreement,Dwelling_Type,Elevator,Furnishing,Level,Parking_Space,Pets,Rooms_Number,Seller
ID16wFsa,https://www.olx.pl/d/oferta/kawalerka-35m-centrum-kielce-CID3-ID16wFsa.html,Kawalerka 35m Centrum Kielce,1 600 zł,Kielce - Odświeżono Dzisiaj o 10:22,35 m²,kielce,2025-07-14 00:44:22,wynajem,block,no,yes,0,belonging_on_street,,1,private
ID16eiFT,https://www.olx.pl/d/oferta/wynajme-kawalerke-blisko-miasta-CID3-ID16eiFT.html,Wynajmę kawalerkę blisko miasta,1 400 zł,Kielce - Odświeżono dnia 20 czerwca 2025,30 m²,kielce,2025-07-14 00:44:22,wynajem,block,no,yes,2,belonging_on_street,no,1,private
ID16wkSX,https://www.olx.pl/d/oferta/wynajme-mieszkanie-48m2-2-pokoje-kielce-ul-zagnanska-plaza-CID3-ID16wkSX.html,"Wynajmę mieszkanie 48m2, 2 pokoje, Kielce ul. Zagnańska, Plaza",3 000 zł,Kielce - Odświeżono Dzisiaj o 21:55,"48,26 m²",kielce,2025-07-14 00:44:22,wynajem,apartment,yes,yes,1,,no,2,developers
ID12WlRT,https://www.olx.pl/d/oferta/wynajme-3-pokoje-52m2-ul-winnicka-CID3-ID12WlRT.html,"Wynajmę 3 pokoje, 52m2, ul. Winnicka",2 700 zł,Kielce - Odświeżono Dzisiaj o 18:52,"51,50 m²",kielce,2025-07-14 00:44:22,wynajem,block,yes,yes,3,,yes,3,private
ID16btdS,https://www.olx.pl/d/oferta/wynajme-mieszkanie-3-pokoje-blisko-uczelni-CID3-ID16btdS.html,Wynajmę mieszkanie 3 pokoje blisko uczelni,2 200 zł,Kielce - Dzisiaj o 10:03,63 m²,kielce,2025-07-14 00:44:22,wynajem,block,,yes,1,belonging_on_street,,3,private
ID16xYvS,https://www.olx.pl/d/oferta/wynajme-nowoczesne-mieszkanie-przy-kazimierza-wielkiego-slichowice-CID3-ID16xYvS.html,Wynajmę nowoczesne mieszkanie przy Kazimierza Wielkiego - Ślichowice,2 700 zł,Kielce - Odświeżono Dzisiaj o 19:21,51 m²,kielce,2025-07-14 00:44:22,wynajem,apartment,yes,yes,1,,no,2,private
ID15Onq2,https://www.olx.pl/d/oferta/wynajme-mieszkanie-2-pokojowe-51-m2-os-kochanowskiego-kielce-CID3-ID15Onq2.html,"Wynajmę Mieszkanie 2-pokojowe 51 m2, oś. Kochanowskiego  Kielce",1 800 zł,Kielce - Odświeżono Dzisiaj o 08:34,51 m²,kielce,2025-07-14 00:44:22,wynajem,block,no,yes,1,belonging_on_street,no,2,private
ID4x9FS,https://www.olx.plhttps://www.otodom.pl/pl/oferta/mieszkanie-m-3-z-wyposazeniem-ID4x9FS.html,Mieszkanie M-3 z wyposażeniem.,1 700 zł,Kielce - 06 lipca 2025,45 m²,kielce,2025-07-14 00:44:22,wynajem,block,,yes,4,,,2,developers
ID4vMUV,https://www.olx.plhttps://www.otodom.pl/pl/oferta/apartament-2-pokoje-32m-ul-lotnicza-centrum-ID4vMUV.html,"Apartament 2 pokoje, 32m² ul. Lotnicza-Centrum!",2 000 zł,Kielce - Dzisiaj o 06:27,32 m²,kielce,2025-07-14 00:44:22,wynajem,apartment,,yes,5,,,2,private
ID4x0TM,https://www.olx.plhttps://www.otodom.pl/pl/oferta/kawalerka-po-remoncie-ul-okrzei-1-pietro-ID4x0TM.html,"Kawalerka po remoncie ul Okrzei, 1 piętro",1 600 zł,Kielce - 26 czerwca 2025,27 m²,kielce,2025-07-14 00:44:22,wynajem,remaining,,yes,1,,,1,developers
ID4xbKZ,https://www.olx.plhttps://www.otodom.pl/pl/oferta/wietrzniadwustronneparkingbalkonblisko-centrumfunkcjonalne-ID4xbKZ.html,⭐Wietrznia⭐Dwustronne⭐Parking⭐Balkon⭐Blisko Centrum⭐Funkcjonalne⭐,1 600 zł,Kielce - 08 lipca 2025,46 m²,kielce,2025-07-14 00:44:22,wynajem,block,,yes,0,,,2,developers
ID16v7CT,https://www.olx.pl/d/oferta/wynajme-mieszkanie-na-osiedlu-slichowice-ul-jurajska-kielce-CID3-ID16v7CT.html,"Wynajmę mieszkanie na osiedlu Ślichowice, ul. Jurajska, Kielce",1 500 zł,Kielce - 07 lipca 2025,32 m²,kielce,2025-07-14 00:44:22,wynajem,block,no,yes,0,,,1,private
ID16opzT,https://www.olx.pl/d/oferta/wynajme-mieszkanie-blisko-politechniki-i-ujk-CID3-ID16opzT.html,Wynajmę mieszkanie blisko Politechniki i UJK,1 500 zł,Kielce - Odświeżono dnia 12 lipca 2025,38 m²,kielce,2025-07-14 00:44:22,wynajem,block,,yes,1,belonging_on_street,,2,private
ID16AAtU,https://www.olx.pl/d/oferta/nowoczesne-3-pokoje-z-balkonem-i-garazem-osiedle-na-wrzosach-CID3-ID16AAtU.html,Nowoczesne 3 pokoje z balkonem i garażem | Osiedle na Wrzosach,2 250 zł,Kielce - Dzisiaj o 07:09,61 m²,kielce,2025-07-14 00:44:22,wynajem,apartment,yes,yes,2,garage,no,3,developers
ID13gI4E,https://www.olx.pl/d/oferta/kawalerka-premium-w-centrum-wysoki-standard-CID3-ID13gI4E.html,**Kawalerka Premium w Centrum ** Wysoki Standard,1 300 zł,Kielce - Dzisiaj o 14:28,25 m²,kielce,2025-07-14 00:44:22,wynajem,tenement,no,yes,0,,no,2,private
ID16yTEI,https://www.olx.pl/d/oferta/bezczynszowe-mieszkanie-1-pokojowe-25-m2-ksm-kielce-CID3-ID16yTEI.html,Bezczynszowe mieszkanie 1-pokojowe 25 m2 KSM Kielce,2 000 zł,Kielce - Odświeżono Dzisiaj o 13:57,25 m²,kielce,2025-07-14 00:44:22,wynajem,apartment,yes,yes,1,garage,no,1,developers
ID4xbj7,https://www.olx.plhttps://www.otodom.pl/pl/oferta/2-pokoje-kuchnia-balkon-parking-zamkniete-osiedle-ID4xbj7.html,2 pokoje kuchnia  balkon parking zamknięte osiedle,2 250 zł,Kielce - 10 lipca 2025,54 m²,kielce,2025-07-14 00:44:22,wynajem,apartment,,yes,2,,,2,developers
ID4x2BW,https://www.olx.plhttps://www.otodom.pl/pl/oferta/komfortowe-dwupokojowe-centrum-z-tarasem-ID4x2BW.html,Komfortowe dwupokojowe centrum z tarasem,1 700 zł,Kielce - 28 czerwca 2025,46 m²,kielce,2025-07-14 00:44:22,wynajem,apartment,,yes,0,,,2,developers
ID4xdYk,https://www.olx.plhttps://www.otodom.pl/pl/oferta/piekne-nowe-dwupokojowe-mieszkanie-osiedle-legionow-ID4xdYk.html,Piękne nowe dwupokojowe mieszkanie - Osiedle Legionów,2 300 zł,Kielce - 10 lipca 2025,45 m²,kielce,2025-07-14 00:44:22,wynajem,apartment,,yes,0,,,2,private
ID15T4iM,https://www.olx.pl/d/oferta/kawalerka-po-remoncie-ul-wojewodzka-internet-i-tv-w-cenie-CID3-ID15T4iM.html,Kawalerka po remoncie ul. Wojewódzka. Internet i TV w cenie,1 500 zł,Kielce - Dzisiaj o 22:17,22 m²,kielce,2025-07-14 00:44:22,wynajem,block,no,yes,1,lack,no,1,private
ID4x7A9,https://www.olx.plhttps://www.otodom.pl/pl/oferta/do-wynajecia-2-pokoje-bocianek-kielce-ID4x7A9.html,Do wynajęcia | 2 pokoje | Bocianek | Kielce,1 600 zł,Kielce - 03 lipca 2025,49 m²,kielce,2025-07-14 00:44:22,wynajem,block,,yes,1,,,2,developers
ID4vnLX,https://www.olx.plhttps://www.otodom.pl/pl/oferta/przytulna-kawalerka-do-wynajecia-ID4vnLX.html,Przytulna kawalerka do wynajęcia,1 400 zł,Kielce - 12 lipca 2025,30 m²,kielce,2025-07-14 00:44:22,wynajem,block,,yes,4,,,1,developers
